variable,classification,value,short,name,label,label_bormann_golder
elecrule,Plurality,1,smdp,SMD_Plurality,Single-Member-District-Plurality (SMDP),Single-Member-District-Plurality (SMDP)
elecrule,Absolute-Majority,2,trs,Two-Rounds,Two-Round System (TRS),Two-Round System (TRS)
elecrule,Absolute-Majority,3,av,Alternative-Vote,Alternative Vote (AV),Alternative Vote (AV)
elecrule,Plurality,4,borda,Borda,Borda Count (BC),Borda Count (BC)
elecrule,Plurality,5,block,Block-Vote,Block Vote (BV),Block Vote (BV)
elecrule,Plurality,6,pbv,Party-Block,Party Block Vote (PBV),Party Block Vote (PBV)
elecrule,Plurality,7,limited,Limited,Limited Vote (LV),Limited Vote (LV)
elecrule,Plurality,8,sntv,SNTV,Single Nontransferable Vote (SNTV),Single Nontransferable Vote (SNTV)
elecrule,List-PR,9,pr,List-PR,List Proportional Representation (List PR),List Proportional Representation (List PR)
elecrule,STV,10,stv,STV,Single Transferable Vote (STV),Single Transferable Vote (STV)
elecrule,Dependent,11,md,Dependent,Mixed Dependent (or Mixed Member Proportional),Mixed Dependent (or Mixed Member Proportional)
elecrule,Independent,12,mi,Independent,Mixed Independent (or Mixed Parallel),Mixed Independent (or Mixed Parallel)
formula,Plurality,1,smdp,SMD_Plurality,Single-Member-District-Plurality (SMDP),Single-Member-District-Plurality (SMDP)
formula,Plurality,2,trs-plurality,TRS_Plurality,Two Round Majority-Plurality,Two Round Majority-Plurality
formula,Absolute-Majority,3,trs-majority,TRS_Majority,Two Round Qualified Majority,Two Round Qualified Majority
formula,Absolute-Majority,4,trs-runoff,TRS_Runoff,Two Round Majority Runoff,Two Round Majority Runoff
formula,Absolute-Majority,5,av,Alternative-Vote,Alternative Vote (AV),Alternative Vote (AV)
formula,Plurality,6,borda,Borda,Borda Count (BC),Borda Count (BC)
formula,Plurality,7,borda-mod,Borda_modified,Modified Borda Count (mBC),Modified Borda Count (mBC)
formula,Plurality,8,block,Block-Vote,Block Vote (BV),Block Vote (BV)
formula,Plurality,9,block-party,Block-Party,Party Block Vote (PBV),Party Block Vote (PBV)
formula,Plurality,10,limited,Limited,Limited Vote (LV),Limited Vote (LV)
formula,Plurality,11,sntv,SNTV,Single Nontransferable Vote (SNTV),Single Nontransferable Vote (SNTV)
formula,Quota,12,hare,Hare,Hare quota,Hare quota
formula,Quota,13,hare-la,Hare_largest,Hare quota with largest remainders,Hare quota with largest remainders
formula,Quota,14,hare-hi,Hare_highest,Hare quota with highest average remainders,Hare quota with highest average remainders
formula,Quota,15,habi,Ha-Bi,Hagenbach-Bischoff quota,Hagenbach-Bischoff quota
formula,Quota,16,habi-la,Ha-Bi_largest,Hagenbach-Bischoff quota with largest remainders,Hagenbach-Bischoff quota with largest remainders
formula,Quota,17,habi-hi,Ha-Bi_highest,Hagenbach-Bischoff quota with highest average remainders,Hagenbach-Bischoff quota with highest average remainders
formula,Quota,18,droop,Droop,Droop quota,Droop quota
formula,Quota,19,droop-la,Droop_largest,Droop quota with largest remainders,Droop quota with largest remainders
