ortsteil,wahlbeteiligung
Alte Neustadt,76
Altstadt,69.9
Arbergen,76.7
Arsten,76.5
Aumund-Hammersbeck,69.2
Bahnhofsvorstadt,67
Barkhof,84.9
Blockdiek,59.2
Blockland,85.1
Blumenthal,61.9
Borgfeld,87.7
Buntentor,79.6
Burg-Grambke,68.6
Burgdamm,62.1
Bürgerpark,85.6
Ellener Feld,69.8
Ellenerbrok-Schevemoor,63
Fähr-Lobbendorf,64.9
Farge,71.4
Fesenfeld,83.6
Findorff-Bürgerweide,76.4
Gartenstadt Süd,71.7
Gartenstadt Vahr,73
Gete,86
Grohn,70.2
Grolland,83.2
Gröpelingen,54.1
Habenhausen,84.8
Handelshäfen,
Hastedt,74
Hemelingen,61.1
Hohentor,70.8
Hohentorshafen,
Hohweg,70.7
Horn,81.7
Huckelriede,71.3
Hulsberg,76.9
In den Hufen,89.9
In den Wischen,
Industriehäfen,
Kattenesch,73.2
Kattenturm,61.3
Kirchhuchting,63.9
Lehe,79.1
Lehesterdeich,79.5
Lesum,72.4
Lindenhof,57.6
Lüssum-Bockhorn,61.4
Mahndorf,71
Mittelshuchting,65.7
Neu-Schwachhausen,84
Neue Vahr Nord,56.7
Neue Vahr Südost,57.1
Neue Vahr Südwest,60.3
Neuenland,64.8
Neustadt,81
Neustädter Häfen,
Oberneuland,84
Ohlenhof,53.1
Oslebshausen,60.7
Osterfeuerberg,68.3
Osterholz,72.9
Ostertor,81.3
Peterswerder,84.2
Rablinghausen,75.1
Radio Bremen,83.6
Regensburger Straße,76.4
Rekum,76.3
Riensberg,83.4
Rönnebeck,67.1
Schönebeck,75.7
Schwachhausen,87
Sebaldsbrück,69.6
Seehausen,78.5
Sodenmatt,60.9
St Magnus,79.8
Stadtbr. Überseehafengebiet Bremerhaven,
Steffensweg,65
Steintor,82.3
Strom,81.9
Südervorstadt,77.5
Tenever,52
Überseestadt,75.5
Utbremen,66.6
Vegesack,69.5
Walle,68.6
Weidedamm,79.8
Werderland,81.4
Westend,69
Woltmershausen,66.2
